image_1,image_2,label
Tanker\Tanker_Visual_Tanker_x11576_y10872_vv.tif,Tanker\Tanker_Visual_Tanker_x13477_y8443_vv.tif,1
Bulk Carrier\BulkCarrier_Visual_Cargo_x5305_y10355_vv.tif,Container Ship\ContainerShip_Visual_Cargo_x18962_y4755_vv.tif,0
Tanker\Tanker_Visual_Tanker_x11576_y10872_vv.tif,Bulk Carrier\BulkCarrier_Visual_Cargo_x3133_y6885_vv.tif,0
Bulk Carrier\BulkCarrier_Visual_Cargo_x43939_y7935_vv.tif,Container Ship\ContainerShip_Visual_Cargo_x12291_y4661_vv.tif,0
Bulk Carrier\BulkCarrier_Visual_Cargo_x10336_y10851_vv.tif,Bulk Carrier\BulkCarrier_Visual_Cargo_x10187_y12130_vv.tif,1
Bulk Carrier\BulkCarrier_Visual_Cargo_x11579_y11938_vv.tif,Bulk Carrier\BulkCarrier_Visual_Cargo_x4470_y4430_vv.tif,1
Bulk Carrier\BulkCarrier_Visual_Cargo_x384_y9455_vv.tif,Bulk Carrier\BulkCarrier_Visual_Cargo_x2376_y6324_vv.tif,1
Bulk Carrier\BulkCarrier_Visual_Cargo_x20154_y7981_vv.tif,Bulk Carrier\BulkCarrier_Visual_Cargo_x5305_y10355_vv.tif,1
Container Ship\ContainerShip_Visual_Cargo_x1370_y5145_vv.tif,Container Ship\ContainerShip_Visual_Cargo_x1780_y13352_vv.tif,1
Bulk Carrier\BulkCarrier_Visual_Cargo_x33429_y6239_vv.tif,Container Ship\ContainerShip_Visual_Cargo_x21317_y6255_vv.tif,0
Bulk Carrier\BulkCarrier_Visual_Cargo_x33429_y6239_vv.tif,Bulk Carrier\BulkCarrier_Visual_Cargo_x10187_y12130_vv.tif,1
Bulk Carrier\BulkCarrier_Visual_Cargo_x19561_y3951_vv.tif,Container Ship\ContainerShip_Visual_Cargo_x13409_y11193_vv.tif,0
Tanker\Tanker_Visual_Other Type_x8399_y8695_vv.tif,Container Ship\ContainerShip_Visual_Cargo_x1618_y2285_vv.tif,0
Tanker\Tanker_Visual_Tanker_x11031_y489_vv.tif,Bulk Carrier\BulkCarrier_Visual_Cargo_x2062_y13786_vv.tif,0
Bulk Carrier\BulkCarrier_Visual_Cargo_x10640_y14965_vv.tif,Container Ship\ContainerShip_Visual_Cargo_x22012_y10856_vv.tif,0
Tanker\Tanker_Visual_Tanker_x11576_y10872_vv.tif,Bulk Carrier\BulkCarrier_Visual_Cargo_x49771_y6451_vv.tif,0
Bulk Carrier\BulkCarrier_Visual_Cargo_x42811_y5522_vv.tif,Container Ship\ContainerShip_Visual_Cargo_x20727_y3247_vv.tif,0
Bulk Carrier\BulkCarrier_Visual_Cargo_x2411_y10963_vv.tif,Container Ship\ContainerShip_Visual_Cargo_x19933_y4048_vv.tif,0
Bulk Carrier\BulkCarrier_Visual_Cargo_x43311_y8093_vv.tif,Container Ship\ContainerShip_Visual_Cargo_x18777_y4672_vv.tif,0
Tanker\Tanker_Visual_Tanker_x12328_y10447_vv.tif,Container Ship\ContainerShip_Visual_Cargo_x18777_y4672_vv.tif,0
Tanker\Tanker_Visual_Other Type_x11891_y12487_vv.tif,Bulk Carrier\BulkCarrier_Visual_Cargo_x2048_y9496_vv.tif,0
Bulk Carrier\BulkCarrier_Visual_Cargo_x40993_y11255_vv.tif,Container Ship\ContainerShip_Visual_Cargo_x1927_y2186_vv.tif,0
Tanker\Tanker_Visual_Tanker_x15478_y6048_vv.tif,Container Ship\ContainerShip_Visual_Cargo_x19477_y4152_vv.tif,0
Tanker\Tanker_Visual_Tanker_x14862_y5271_vv.tif,Container Ship\ContainerShip_Visual_Cargo_x20727_y3247_vv.tif,0
Bulk Carrier\BulkCarrier_Visual_Cargo_x52140_y3859_vv.tif,Container Ship\ContainerShip_Visual_Cargo_x19477_y4152_vv.tif,0
Bulk Carrier\BulkCarrier_Visual_Cargo_x52140_y3859_vv.tif,Bulk Carrier\BulkCarrier_Visual_Cargo_x10158_y11555_vv.tif,1
Bulk Carrier\BulkCarrier_Visual_Cargo_x2478_y5992_vv.tif,Container Ship\ContainerShip_Visual_Cargo_x1927_y2186_vv.tif,0
Bulk Carrier\BulkCarrier_Visual_Cargo_x10700_y13638_vv.tif,Bulk Carrier\BulkCarrier_Visual_Cargo_x46188_y12294_vv.tif,1
Tanker\Tanker_Visual_Tanker_x11031_y489_vv.tif,Bulk Carrier\BulkCarrier_Visual_Cargo_x53330_y8469_vv.tif,0
Bulk Carrier\BulkCarrier_Visual_Cargo_x50543_y9709_vv.tif,Container Ship\ContainerShip_Visual_Cargo_x1618_y2285_vv.tif,0
Bulk Carrier\BulkCarrier_Visual_Cargo_x4107_y14077_vv.tif,Bulk Carrier\BulkCarrier_Visual_Cargo_x51290_y9178_vv.tif,1
Bulk Carrier\BulkCarrier_Visual_Cargo_x53455_y8230_vv.tif,Bulk Carrier\BulkCarrier_Visual_Cargo_x10480_y13996_vv.tif,1
Bulk Carrier\BulkCarrier_Visual_Cargo_x19561_y3951_vv.tif,Container Ship\ContainerShip_Visual_Cargo_x1802_y4899_vv.tif,0
Tanker\Tanker_Visual_Tanker_x13506_y8465_vv.tif,Container Ship\ContainerShip_Visual_Cargo_x1927_y2186_vv.tif,0
Tanker\Tanker_Visual_Tanker_x11439_y2396_vv.tif,Bulk Carrier\BulkCarrier_Visual_Cargo_x2013_y12064_vv.tif,0
Bulk Carrier\BulkCarrier_Visual_Cargo_x5040_y14113_vv.tif,Bulk Carrier\BulkCarrier_Visual_Cargo_x10640_y14965_vv.tif,1
Bulk Carrier\BulkCarrier_Visual_Cargo_x51511_y10413_vv.tif,Container Ship\ContainerShip_Visual_Cargo_x20600_y13107_vv.tif,0
Bulk Carrier\BulkCarrier_Visual_Cargo_x2040_y7666_vv.tif,Container Ship\ContainerShip_Visual_Cargo_x19753_y8024_vv.tif,0
Bulk Carrier\BulkCarrier_Visual_Cargo_x1977_y12802_vv.tif,Container Ship\ContainerShip_Visual_Cargo_x19422_y12992_vv.tif,0
Bulk Carrier\BulkCarrier_Visual_Cargo_x2040_y7666_vv.tif,Container Ship\ContainerShip_Visual_Cargo_x2437_y13307_vv.tif,0
Bulk Carrier\BulkCarrier_Visual_Cargo_x301_y12209_vv.tif,Bulk Carrier\BulkCarrier_Visual_Cargo_x33429_y6239_vv.tif,1
Bulk Carrier\BulkCarrier_Visual_Cargo_x10996_y14603_vv.tif,Container Ship\ContainerShip_Visual_Cargo_x22859_y10454_vv.tif,0
Bulk Carrier\BulkCarrier_Visual_Cargo_x2556_y4814_vv.tif,Container Ship\ContainerShip_Visual_Cargo_x22859_y10454_vv.tif,0
Container Ship\ContainerShip_Visual_Cargo_x22859_y10454_vv.tif,Container Ship\ContainerShip_Visual_Cargo_x19753_y8024_vv.tif,1
Bulk Carrier\BulkCarrier_Visual_Cargo_x5040_y14113_vv.tif,Container Ship\ContainerShip_Visual_Cargo_x1927_y2186_vv.tif,0
Bulk Carrier\BulkCarrier_Visual_Cargo_x2556_y4814_vv.tif,Container Ship\ContainerShip_Visual_Cargo_x18777_y4672_vv.tif,0
Tanker\Tanker_Visual_Tanker_x13506_y8465_vv.tif,Bulk Carrier\BulkCarrier_Visual_Cargo_x33429_y6239_vv.tif,0
